time,vehicle_id,co2,fuel,nox
17.00,veh2,2564.54,818.16,1.01
17.00,veh3,2587.19,825.33,1.07
17.00,veh7,3549.47,1132.40,1.45
17.00,veh8,2795.49,891.81,1.15
17.00,veh9,2298.06,733.06,0.96
18.00,veh0,4351.01,1388.19,1.74
18.00,veh1,3908.70,1247.04,1.58
18.00,veh2,2904.37,926.58,1.16
18.00,veh3,2747.35,876.44,1.13
18.00,veh4,2298.06,733.06,0.96
18.00,veh7,3726.05,1188.75,1.52
18.00,veh8,2629.81,838.96,1.06
18.00,veh9,2340.06,746.47,0.97
19.00,veh0,5260.59,1678.38,2.15
19.00,veh1,3671.58,1171.41,1.45
19.00,veh2,2948.07,940.53,1.17
19.00,veh3,2925.53,933.30,1.20
19.00,veh4,2294.75,732.00,0.95
19.00,veh7,3645.76,1163.15,1.47
19.00,veh8,2508.44,800.25,0.99
19.00,veh9,2359.94,752.82,0.97
20.00,veh0,2797.42,892.59,0.97
20.00,veh1,4700.36,1499.62,1.93
20.00,veh2,3266.22,1042.04,1.31
20.00,veh3,2610.68,832.87,1.04
20.00,veh4,2327.63,742.50,0.96
20.00,veh7,3992.94,1273.92,1.62
20.00,veh8,2616.35,834.68,1.04
20.00,veh9,2423.71,773.17,0.99
21.00,veh0,3484.99,1111.95,1.30
21.00,veh1,3865.26,1233.22,1.52
21.00,veh2,3445.48,1099.24,1.39
21.00,veh3,2811.41,896.91,1.13
21.00,veh4,2363.71,754.02,0.97
21.00,veh7,3147.09,1004.08,1.21
21.00,veh8,2749.36,877.13,1.09
21.00,veh9,2494.86,795.88,1.02
22.00,veh0,0.00,0.00,0.00
22.00,veh1,1951.64,622.75,0.60
22.00,veh17,2298.06,733.06,0.96
22.00,veh2,3428.53,1093.84,1.37
22.00,veh3,3399.23,1084.45,1.40
22.00,veh4,2376.73,758.18,0.97
22.00,veh7,0.00,0.00,0.00
22.00,veh8,3485.77,1112.07,1.43
22.00,veh9,2619.85,835.77,1.07
23.00,veh0,0.00,0.00,0.00
23.00,veh1,2166.83,691.40,0.71
23.00,veh17,2320.22,740.14,0.96
23.00,veh2,3402.89,1085.68,1.34
23.00,veh3,3264.57,1041.51,1.32
23.00,veh4,2373.54,757.18,0.96
23.00,veh7,2717.10,866.85,1.07
23.00,veh8,3139.76,1001.70,1.25
23.00,veh9,2538.57,809.85,1.02
24.00,veh0,0.00,0.00,0.00
24.00,veh1,2585.41,824.93,0.90
24.00,veh17,2421.38,772.42,1.00
24.00,veh2,4452.82,1420.64,1.83
24.00,veh3,3009.50,960.15,1.19
24.00,veh4,2482.40,791.91,1.01
24.00,veh5,2298.06,733.06,0.96
24.00,veh7,1969.25,628.27,0.71
24.00,veh8,2976.24,949.54,1.17
24.00,veh9,2846.16,907.99,1.16
25.00,veh0,0.00,0.00,0.00
25.00,veh1,1278.22,407.92,0.28
25.00,veh17,2545.01,811.87,1.05
25.00,veh2,0.00,0.00,0.00
25.00,veh3,3089.81,985.78,1.22
25.00,veh4,2525.71,805.74,1.02
25.00,veh5,2404.77,767.11,1.00
25.00,veh7,3003.33,958.17,1.19
25.00,veh8,3098.52,988.56,1.21
25.00,veh9,3206.11,1022.83,1.31
26.00,veh0,2912.98,929.30,1.19
26.00,veh1,3415.30,1089.68,1.29
26.00,veh17,2455.53,783.34,1.00
26.00,veh2,0.00,0.00,0.00
26.00,veh3,3612.20,1152.44,1.45
26.00,veh4,2554.73,815.01,1.03
26.00,veh5,2428.65,774.75,1.00
26.00,veh7,3681.45,1174.52,1.50
26.00,veh8,4099.04,1307.76,1.68
26.00,veh9,3288.12,1049.01,1.34
27.00,veh0,3146.38,1003.77,1.29
27.00,veh1,0.00,0.00,0.00
27.00,veh17,2842.84,906.91,1.17
27.00,veh18,2298.06,733.06,0.96
27.00,veh2,3286.18,1048.40,1.33
27.00,veh3,3593.83,1146.59,1.43
27.00,veh4,2608.01,832.02,1.04
27.00,veh5,2494.59,795.79,1.02
27.00,veh7,4092.42,1305.64,1.68
27.00,veh8,0.00,0.00,0.00
27.00,veh9,2799.79,893.23,1.10
28.00,veh0,2855.83,911.09,1.14
28.00,veh1,0.00,0.00,0.00
28.00,veh17,2914.16,929.68,1.19
28.00,veh18,2341.81,747.02,0.97
28.00,veh2,3300.39,1052.94,1.33
28.00,veh3,3851.65,1228.85,1.54
28.00,veh4,3222.72,1028.13,1.32
28.00,veh5,2767.33,882.81,1.14
28.00,veh6,2298.06,733.06,0.96
28.00,veh7,4196.55,1338.87,1.71
28.00,veh8,0.00,0.00,0.00
28.00,veh9,3769.67,1202.66,1.55
29.00,veh0,2992.19,954.61,1.20
29.00,veh1,0.00,0.00,0.00
29.00,veh17,3099.49,988.82,1.27
29.00,veh18,2470.17,787.99,1.02
29.00,veh2,3953.43,1261.29,1.62
29.00,veh3,0.00,0.00,0.00
29.00,veh4,3178.54,1014.05,1.29
29.00,veh5,2631.88,839.62,1.07
29.00,veh6,2312.39,737.64,0.96
29.00,veh7,4473.84,1427.35,1.83
29.00,veh8,3167.39,1010.48,1.30
29.00,veh9,2996.83,956.12,1.17
30.00,veh0,3018.06,962.87,1.20
30.00,veh1,2856.92,911.41,1.17
30.00,veh17,2930.19,934.82,1.18
30.00,veh18,2510.77,800.95,1.03
30.00,veh2,3800.00,1212.36,1.54
30.00,veh3,0.00,0.00,0.00
30.00,veh4,2916.84,930.58,1.15
30.00,veh5,2797.92,892.60,1.13
30.00,veh6,2439.71,778.27,1.01
30.00,veh7,3104.73,990.59,1.17
30.00,veh8,2619.52,835.71,1.03
30.00,veh9,3212.77,1025.02,1.26
31.00,veh0,2953.16,942.18,1.16
31.00,veh1,2969.32,947.28,1.21
31.00,veh17,3046.72,972.01,1.22
31.00,veh18,2741.30,874.51,1.13
31.00,veh19,2298.06,733.06,0.96
31.00,veh2,3741.39,1193.67,1.49
31.00,veh3,3413.85,1089.13,1.39
31.00,veh4,3378.84,1077.97,1.36
31.00,veh5,3131.66,999.08,1.28
31.00,veh6,2536.25,809.08,1.04
31.00,veh7,3021.99,964.20,1.12
31.00,veh8,3475.08,1108.66,1.42
31.00,veh9,3518.50,1122.56,1.40
32.00,veh0,3036.22,968.68,1.19
32.00,veh1,3100.60,989.18,1.26
32.00,veh17,3699.44,1180.25,1.52
32.00,veh18,2857.68,911.65,1.17
32.00,veh19,2288.29,729.95,0.95
32.00,veh2,3455.17,1102.37,1.35
32.00,veh3,3154.41,1006.38,1.25
32.00,veh4,3448.43,1100.19,1.38
32.00,veh5,3017.89,962.80,1.21
32.00,veh6,2632.34,839.75,1.08
32.00,veh7,0.00,0.00,0.00
32.00,veh8,3520.28,1123.09,1.43
32.00,veh9,0.00,0.00,0.00
33.00,veh0,4083.41,1302.77,1.67
33.00,veh1,2975.94,949.42,1.19
33.00,veh10,2298.06,733.06,0.96
33.00,veh17,3720.64,1187.03,1.51
33.00,veh18,2706.52,863.44,1.09
33.00,veh19,2399.36,765.39,0.99
33.00,veh2,4208.52,1342.72,1.69
33.00,veh3,4008.86,1278.98,1.65
33.00,veh4,3485.26,1111.95,1.39
33.00,veh5,2840.23,906.13,1.12
33.00,veh6,2573.44,820.97,1.04
33.00,veh7,0.00,0.00,0.00
33.00,veh8,3696.19,1179.22,1.50
33.00,veh9,0.00,0.00,0.00
34.00,veh0,3361.65,1072.53,1.32
34.00,veh1,2834.78,904.40,1.11
34.00,veh10,2311.24,737.27,0.96
34.00,veh17,3200.02,1020.95,1.25
34.00,veh18,2668.23,851.24,1.06
34.00,veh19,2344.36,747.85,0.96
34.00,veh2,0.00,0.00,0.00
34.00,veh3,3391.85,1082.15,1.34
34.00,veh4,4338.71,1384.23,1.78
34.00,veh5,3354.23,1070.12,1.35
34.00,veh6,2510.89,801.02,1.00
34.00,veh7,2966.20,946.31,1.19
34.00,veh8,3265.91,1041.97,1.29
34.00,veh9,1770.44,564.84,0.62
35.00,veh0,4504.78,1437.22,1.85
35.00,veh1,3123.17,996.41,1.24
35.00,veh10,2350.85,749.92,0.97
35.00,veh17,3402.00,1085.39,1.34
35.00,veh18,2926.99,933.79,1.18
35.00,veh19,2372.90,756.97,0.97
35.00,veh2,0.00,0.00,0.00
35.00,veh3,3204.41,1022.36,1.24
35.00,veh4,0.00,0.00,0.00
35.00,veh5,3374.89,1076.72,1.35
35.00,veh6,2564.36,818.09,1.02
35.00,veh7,2337.98,745.90,0.89
35.00,veh8,4238.72,1352.33,1.73
35.00,veh9,2049.88,653.99,0.75
36.00,veh0,0.00,0.00,0.00
36.00,veh1,3261.83,1040.66,1.30
36.00,veh10,2340.19,746.52,0.96
36.00,veh17,1403.13,447.72,0.39
36.00,veh18,3395.15,1083.16,1.39
36.00,veh19,2692.19,858.84,1.11
36.00,veh2,2856.76,911.38,1.15
36.00,veh27,2298.06,733.06,0.96
36.00,veh3,4268.62,1361.88,1.73
36.00,veh4,2280.88,727.68,0.86
36.00,veh5,4052.57,1292.93,1.66
36.00,veh6,3077.05,981.66,1.25
36.00,veh7,3498.96,1116.28,1.43
36.00,veh8,4265.52,1360.89,1.73
36.00,veh9,3430.50,1094.45,1.40
37.00,veh0,1601.09,510.82,0.54
37.00,veh1,3168.30,1010.83,1.24
37.00,veh10,2462.81,785.65,1.01
37.00,veh17,0.00,0.00,0.00
37.00,veh18,3378.42,1077.84,1.36
37.00,veh19,2749.47,877.13,1.12
37.00,veh2,2839.34,905.83,1.13
37.00,veh27,2348.46,749.15,0.97
37.00,veh3,3595.82,1147.25,1.40
37.00,veh4,0.00,0.00,0.00
37.00,veh5,4126.15,1316.42,1.68
37.00,veh6,3107.74,991.46,1.26
37.00,veh7,2918.69,931.18,1.14
37.00,veh8,3788.13,1208.60,1.49
37.00,veh9,3141.84,1002.37,1.25
38.00,veh0,1653.10,527.41,0.56
38.00,veh1,3676.12,1172.84,1.47
38.00,veh10,2582.41,823.82,1.05
38.00,veh11,2298.06,733.06,0.96
38.00,veh17,3243.46,1034.76,1.32
38.00,veh18,3466.80,1106.04,1.39
38.00,veh19,2770.39,883.81,1.12
38.00,veh2,3504.54,1118.06,1.44
38.00,veh27,2473.46,789.04,1.02
38.00,veh3,0.00,0.00,0.00
38.00,veh4,3094.00,987.09,1.24
38.00,veh5,0.00,0.00,0.00
38.00,veh6,2945.04,939.57,1.17
38.00,veh7,3844.03,1226.39,1.57
38.00,veh8,4830.36,1541.11,1.97
38.00,veh9,3463.77,1105.08,1.39
39.00,veh0,3012.07,960.95,1.20
39.00,veh1,3153.81,1006.23,1.21
39.00,veh10,2786.06,888.80,1.14
39.00,veh11,2305.49,735.44,0.95
39.00,veh17,2827.70,902.14,1.12
39.00,veh18,3287.94,1049.00,1.30
39.00,veh19,2771.66,884.23,1.11
39.00,veh2,3008.67,959.88,1.19
39.00,veh27,2667.73,851.03,1.10
39.00,veh3,0.00,0.00,0.00
39.00,veh4,3316.34,1058.03,1.34
39.00,veh5,0.00,0.00,0.00
39.00,veh6,3105.62,990.81,1.24
39.00,veh7,3767.68,1202.05,1.52
39.00,veh8,1896.89,605.29,0.57
39.00,veh9,3811.36,1215.98,1.54
40.00,veh0,3689.13,1176.96,1.51
40.00,veh1,4660.24,1486.82,1.91
40.00,veh10,2609.36,832.44,1.05
40.00,veh11,2314.59,738.35,0.95
40.00,veh17,3401.91,1085.33,1.38
40.00,veh18,3202.64,1021.79,1.25
40.00,veh19,2866.46,914.48,1.15
40.00,veh2,3037.66,969.14,1.19
40.00,veh27,2562.30,817.41,1.04
40.00,veh28,2298.06,733.06,0.96
40.00,veh3,1999.75,637.90,0.81
40.00,veh4,2967.00,946.59,1.16
40.00,veh5,0.00,0.00,0.00
40.00,veh6,2940.33,938.09,1.15
40.00,veh7,3603.55,1149.70,1.43
40.00,veh8,2348.76,749.44,0.79
40.00,veh9,3275.27,1044.97,1.28
41.00,veh0,3442.21,1098.20,1.38
41.00,veh1,4476.42,1428.19,1.81
41.00,veh10,3049.59,972.89,1.24
41.00,veh11,2393.11,763.41,0.98
41.00,veh17,3645.38,1163.02,1.48
41.00,veh18,1504.91,480.19,0.44
41.00,veh19,3205.28,1022.58,1.30
41.00,veh2,4018.75,1282.14,1.65
41.00,veh27,2814.69,897.94,1.15
41.00,veh28,2316.69,739.01,0.96
41.00,veh3,2294.22,731.83,0.95
41.00,veh4,3636.35,1160.14,1.47
41.00,veh5,3022.96,964.40,1.23
41.00,veh6,2971.66,948.09,1.15
41.00,veh7,4601.12,1467.95,1.89
41.00,veh8,1811.71,578.11,0.53
41.00,veh9,3648.52,1164.05,1.44
42.00,veh0,4052.06,1292.77,1.65
42.00,veh1,3368.39,1074.72,1.27
42.00,veh10,2654.78,846.95,1.05
42.00,veh11,2497.17,796.61,1.02
42.00,veh17,3722.26,1187.55,1.50
42.00,veh18,0.00,0.00,0.00
42.00,veh19,3145.35,1003.48,1.26
42.00,veh2,3344.35,1067.00,1.31
42.00,veh27,2849.00,908.89,1.16
42.00,veh28,2503.43,798.60,1.04
42.00,veh3,2297.65,732.93,0.96
42.00,veh4,3646.89,1163.52,1.46
42.00,veh5,3155.20,1006.60,1.28
42.00,veh6,4205.30,1341.66,1.73
42.00,veh7,3409.59,1087.85,1.31
42.00,veh8,2074.83,662.05,0.66
42.00,veh9,3889.51,1240.95,1.54
43.00,veh0,3233.32,1031.59,1.25
43.00,veh1,1656.51,528.60,0.46
43.00,veh10,2722.17,868.46,1.07
43.00,veh11,2459.44,784.59,1.00
43.00,veh12,2298.06,733.06,0.96
43.00,veh17,4294.10,1370.00,1.76
43.00,veh18,2600.22,829.54,1.03
43.00,veh19,3269.03,1042.95,1.31
43.00,veh2,3733.89,1191.28,1.49
43.00,veh27,2605.02,831.07,1.03
43.00,veh28,2357.43,752.03,0.96
43.00,veh3,2297.95,733.02,0.96
43.00,veh4,4279.02,1365.19,1.75
43.00,veh5,3459.85,1103.81,1.41
43.00,veh6,0.00,0.00,0.00
43.00,veh7,0.00,0.00,0.00
43.00,veh8,1414.18,451.29,0.34
43.00,veh9,2120.13,676.48,0.70
44.00,veh0,3318.68,1058.83,1.29
44.00,veh1,1364.33,435.39,0.32
44.00,veh10,2759.80,880.48,1.08
44.00,veh11,2825.64,901.43,1.16
44.00,veh12,2325.23,741.73,0.96
44.00,veh17,4209.50,1343.02,1.70
44.00,veh18,3432.88,1095.19,1.41
44.00,veh19,3565.12,1137.41,1.43
44.00,veh2,3874.81,1236.25,1.54
44.00,veh27,3075.94,981.31,1.25
44.00,veh28,2597.81,828.73,1.06
44.00,veh3,2297.97,733.03,0.96
44.00,veh4,1483.31,473.31,0.41
44.00,veh5,3147.96,1004.32,1.25
44.00,veh6,0.00,0.00,0.00
44.00,veh7,0.00,0.00,0.00
44.00,veh8,1924.09,613.96,0.59
44.00,veh9,0.00,0.00,0.00
45.00,veh0,3506.68,1118.81,1.36
45.00,veh1,3191.45,1018.27,1.19
45.00,veh10,3508.16,1119.23,1.43
45.00,veh11,2959.74,944.22,1.21
45.00,veh12,2317.21,739.18,0.95
45.00,veh17,3464.75,1105.44,1.34
45.00,veh18,2945.77,939.81,1.17
45.00,veh19,3979.91,1269.75,1.62
45.00,veh2,0.00,0.00,0.00
45.00,veh27,2861.39,912.88,1.13
45.00,veh28,2757.03,879.54,1.13
45.00,veh29,2298.06,733.06,0.96
45.00,veh3,2298.06,733.06,0.96
45.00,veh4,0.00,0.00,0.00
45.00,veh5,4019.18,1282.27,1.65
45.00,veh6,0.00,0.00,0.00
45.00,veh7,2428.29,774.69,0.95
45.00,veh8,1579.64,504.07,0.43
45.00,veh9,1894.04,604.36,0.60
46.00,veh0,4783.22,1526.07,1.96
46.00,veh1,1520.60,485.24,0.39
46.00,veh10,3301.82,1053.41,1.32
46.00,veh11,2915.09,929.99,1.18
46.00,veh12,2526.19,805.87,1.04
46.00,veh17,3693.90,1178.55,1.44
46.00,veh18,3480.61,1110.44,1.41
46.00,veh19,2035.38,649.42,0.69
46.00,veh2,0.00,0.00,0.00
46.00,veh27,3245.97,1035.58,1.31
46.00,veh28,2573.20,820.90,1.03
46.00,veh29,2342.32,747.19,0.97
46.00,veh3,2298.06,733.06,0.96
46.00,veh4,0.00,0.00,0.00
46.00,veh5,3515.12,1121.48,1.40
46.00,veh6,3523.52,1124.12,1.44
46.00,veh7,2002.51,638.86,0.74
46.00,veh8,0.00,0.00,0.00
46.00,veh9,2716.65,866.78,0.98
47.00,veh1,2377.99,758.77,0.80
47.00,veh10,3820.44,1218.88,1.55
47.00,veh11,2809.65,896.36,1.12
47.00,veh12,2484.95,792.72,1.01
47.00,veh17,0.00,0.00,0.00
47.00,veh18,3015.39,962.04,1.18
47.00,veh19,0.00,0.00,0.00
47.00,veh2,0.00,0.00,0.00
47.00,veh27,3591.57,1145.85,1.46
47.00,veh28,2642.03,842.87,1.06
47.00,veh29,2441.51,778.84,1.01
47.00,veh3,2298.06,733.06,0.96
47.00,veh4,2242.70,715.40,0.93
47.00,veh5,3460.76,1104.15,1.36
47.00,veh6,2850.96,909.57,1.11
47.00,veh7,2884.65,920.29,1.15
47.00,veh8,0.00,0.00,0.00
47.00,veh9,1758.31,561.06,0.53
48.00,veh1,1294.98,413.26,0.29
48.00,veh10,3477.12,1109.36,1.37
48.00,veh11,2951.49,941.62,1.18
48.00,veh12,2628.22,838.44,1.07
48.00,veh13,2298.06,733.06,0.96
48.00,veh17,0.00,0.00,0.00
48.00,veh18,3525.85,1124.89,1.41
48.00,veh19,2792.75,890.97,1.11
48.00,veh2,2270.24,724.18,0.94
48.00,veh27,3425.40,1092.85,1.37
48.00,veh28,2693.61,859.33,1.07
48.00,veh29,2634.76,840.51,1.09
48.00,veh3,2298.06,733.06,0.96
48.00,veh4,2296.09,732.43,0.96
48.00,veh5,0.00,0.00,0.00
48.00,veh6,3941.60,1257.52,1.62
48.00,veh7,3003.68,958.28,1.20
48.00,veh8,2769.70,883.61,1.11
48.00,veh9,1646.85,525.50,0.48
49.00,veh10,3692.14,1177.97,1.46
49.00,veh11,2882.84,919.73,1.13
49.00,veh12,2530.98,807.43,1.02
49.00,veh13,2307.77,736.16,0.96
49.00,veh17,2754.18,878.66,1.10
49.00,veh18,3240.42,1033.85,1.26
49.00,veh19,2661.66,849.16,1.04
49.00,veh2,2297.14,732.76,0.96
49.00,veh27,3547.00,1131.65,1.41
49.00,veh28,3195.21,1019.37,1.30
49.00,veh29,2767.98,883.02,1.14
49.00,veh3,2298.06,733.06,0.96
49.00,veh37,2298.06,733.06,0.96
49.00,veh4,2297.89,733.00,0.96
49.00,veh5,0.00,0.00,0.00
49.00,veh6,3949.56,1260.07,1.61
49.00,veh7,3380.85,1078.61,1.37
49.00,veh8,3077.93,981.95,1.25
49.00,veh9,2795.21,891.85,1.02
50.00,veh10,4240.46,1352.90,1.71
50.00,veh11,3643.24,1162.33,1.48
50.00,veh12,2595.51,828.02,1.04
50.00,veh13,2499.66,797.39,1.04
50.00,veh17,2603.16,830.48,1.02
50.00,veh18,4366.07,1392.96,1.78
50.00,veh19,2860.31,912.54,1.13
50.00,veh2,2297.76,732.96,0.96
50.00,veh27,0.00,0.00,0.00
50.00,veh28,3364.06,1073.25,1.37
50.00,veh29,2813.53,897.57,1.15
50.00,veh3,2298.06,733.06,0.96
50.00,veh37,2326.51,742.14,0.96
50.00,veh4,2298.00,733.04,0.96
50.00,veh5,2071.93,660.92,0.85
50.00,veh6,3299.05,1052.56,1.29
50.00,veh7,3720.94,1187.12,1.51
50.00,veh8,2878.90,918.47,1.14
50.00,veh9,1539.46,491.24,0.42
51.00,veh10,4372.69,1395.10,1.76
51.00,veh11,2937.18,937.09,1.14
51.00,veh12,2845.40,907.75,1.15
51.00,veh13,2494.98,795.92,1.02
51.00,veh17,3339.76,1065.49,1.36
51.00,veh18,3592.61,1146.23,1.40
51.00,veh19,3367.71,1074.42,1.36
51.00,veh2,2297.99,733.03,0.96
51.00,veh27,0.00,0.00,0.00
51.00,veh28,3356.62,1070.88,1.35
51.00,veh29,2670.72,852.02,1.07
51.00,veh3,2298.06,733.06,0.96
51.00,veh37,2344.26,747.82,0.96
51.00,veh4,2298.04,733.05,0.96
51.00,veh5,2294.35,731.87,0.95
51.00,veh6,0.00,0.00,0.00
51.00,veh7,3431.62,1094.83,1.36
51.00,veh8,3616.78,1153.88,1.48
51.00,veh9,0.00,0.00,0.00
52.00,veh10,0.00,0.00,0.00
52.00,veh11,3318.14,1058.63,1.31
52.00,veh12,2885.28,920.49,1.16
52.00,veh13,2641.55,842.68,1.08
52.00,veh14,2298.06,733.06,0.96
52.00,veh17,3235.22,1032.15,1.30
52.00,veh18,4337.70,1383.94,1.74
52.00,veh19,3088.50,985.36,1.21
52.00,veh2,2298.02,733.04,0.96
52.00,veh27,2930.62,934.95,1.18
52.00,veh28,3709.91,1183.60,1.51
52.00,veh29,2817.23,898.77,1.13
52.00,veh3,2298.06,733.06,0.96
52.00,veh37,2340.60,746.66,0.96
52.00,veh4,2298.06,733.06,0.96
52.00,veh5,2297.17,732.77,0.96
52.00,veh6,0.00,0.00,0.00
52.00,veh7,4253.11,1356.92,1.74
52.00,veh8,3335.49,1064.15,1.33
52.00,veh9,0.00,0.00,0.00
53.00,veh10,2428.35,774.81,0.84
53.00,veh11,3383.88,1079.62,1.33
53.00,veh12,3522.01,1123.63,1.45
53.00,veh13,2674.80,853.31,1.09
53.00,veh14,2297.35,732.83,0.96
53.00,veh17,2936.92,937.00,1.15
53.00,veh18,2154.61,687.50,0.70
53.00,veh19,4152.51,1324.81,1.71
53.00,veh2,2298.06,733.06,0.96
53.00,veh27,3212.93,1025.03,1.30
53.00,veh28,4198.39,1339.45,1.72
53.00,veh29,3059.68,976.13,1.24
53.00,veh3,2298.06,733.06,0.96
53.00,veh37,2434.44,776.60,0.99
53.00,veh4,2298.06,733.06,0.96
53.00,veh5,2297.50,732.88,0.96
53.00,veh6,1844.23,588.28,0.74
53.00,veh7,3380.17,1078.44,1.31
53.00,veh8,3312.90,1056.96,1.31
53.00,veh9,0.00,0.00,0.00
54.00,veh10,2291.58,731.18,0.78
54.00,veh11,4040.08,1288.97,1.63
54.00,veh12,3509.67,1119.71,1.43
54.00,veh13,2682.23,855.69,1.08
54.00,veh14,2380.38,759.33,0.99
54.00,veh17,3917.33,1249.78,1.60
54.00,veh18,2797.02,892.44,1.00
54.00,veh19,4158.01,1326.58,1.69
54.00,veh2,2298.06,733.06,0.96
54.00,veh27,3482.49,1111.03,1.42
54.00,veh28,3965.68,1265.23,1.60
54.00,veh29,3434.84,1095.83,1.40
54.00,veh3,2298.06,733.06,0.96
54.00,veh37,2391.96,763.06,0.97
54.00,veh38,2298.06,733.06,0.96
54.00,veh4,2298.06,733.06,0.96
54.00,veh5,2297.95,733.02,0.96
54.00,veh6,2285.32,728.99,0.95
54.00,veh7,3671.79,1171.49,1.44
54.00,veh8,3707.65,1182.90,1.49
54.00,veh9,1727.51,551.13,0.62
55.00,veh10,3863.90,1232.79,1.52
55.00,veh11,4532.27,1446.00,1.85
55.00,veh12,3303.74,1054.02,1.32
55.00,veh13,2942.28,938.66,1.20
55.00,veh14,2439.69,778.27,1.01
55.00,veh17,4231.04,1349.87,1.73
55.00,veh18,2145.17,684.49,0.69
55.00,veh19,3484.54,1111.75,1.36
55.00,veh2,2298.06,733.06,0.96
55.00,veh27,3200.56,1021.10,1.27
55.00,veh28,0.00,0.00,0.00
55.00,veh29,3589.86,1145.29,1.46
55.00,veh3,2298.06,733.06,0.96
55.00,veh37,2705.20,863.00,1.11
55.00,veh38,2303.83,734.90,0.95
55.00,veh4,2298.06,733.06,0.96
55.00,veh5,2298.06,733.06,0.96
55.00,veh6,2296.38,732.52,0.96
55.00,veh7,3362.48,1072.82,1.28
55.00,veh8,3284.23,1047.83,1.27
55.00,veh9,2010.10,641.28,0.75
56.00,veh10,1969.49,628.44,0.61
56.00,veh11,3625.88,1156.85,1.40
56.00,veh12,3887.62,1240.31,1.58
56.00,veh13,2626.13,837.81,1.04
56.00,veh14,2503.62,798.67,1.03
56.00,veh17,3479.65,1110.18,1.37
56.00,veh18,0.00,0.00,0.00
56.00,veh19,4845.10,1545.80,1.99
56.00,veh2,2298.06,733.06,0.96
56.00,veh27,3271.55,1043.76,1.30
56.00,veh28,3363.39,1073.04,1.35
56.00,veh29,3565.53,1137.55,1.44
56.00,veh3,2298.06,733.06,0.96
56.00,veh37,2796.70,892.20,1.14
56.00,veh38,2329.94,743.24,0.96
56.00,veh4,2298.06,733.06,0.96
56.00,veh5,2298.06,733.06,0.96
56.00,veh6,2297.61,732.91,0.96
56.00,veh8,4646.71,1482.50,1.91
56.00,veh9,2923.04,932.53,1.18
57.00,veh10,0.00,0.00,0.00
57.00,veh11,4971.66,1586.19,2.03
57.00,veh12,4102.82,1308.97,1.67
57.00,veh13,2674.74,853.33,1.05
57.00,veh14,2417.75,771.29,0.98
57.00,veh15,2298.06,733.06,0.96
57.00,veh17,4098.35,1307.57,1.65
57.00,veh18,2372.43,756.99,0.80
57.00,veh19,4844.49,1545.62,1.97
57.00,veh2,2298.06,733.06,0.96
57.00,veh27,4058.37,1294.78,1.66
57.00,veh28,3082.01,983.29,1.21
57.00,veh29,3744.57,1194.67,1.51
57.00,veh3,2298.06,733.06,0.96
57.00,veh37,3138.13,1001.14,1.29
57.00,veh38,2440.59,778.55,1.00
